,clone_pair_id,facer_prediction,nil_prediction,code_bert_prediction
169,clone169.java,1,0,1
17,clone17.java,0,1,1
170,clone170.java,1,0,1
171,clone171.java,1,0,1
172,clone172.java,1,0,1
173,clone173.java,1,0,1
174,clone174.java,1,0,1
175,clone175.java,1,0,1
176,clone176.java,1,0,0
177,clone177.java,1,0,0
178,clone178.java,1,0,0
179,clone179.java,1,0,1
18,clone18.java,1,0,1
180,clone180.java,1,0,1
181,clone181.java,1,0,0
182,clone182.java,1,0,1
183,clone183.java,1,0,0
184,clone184.java,1,0,1
185,clone185.java,1,0,1
186,clone186.java,1,0,1
187,clone187.java,1,0,1
188,clone188.java,1,0,1
189,clone189.java,1,0,1
19,clone19.java,1,0,1
190,clone190.java,0,0,1
191,clone191.java,1,0,1
192,clone192.java,1,0,1
193,clone193.java,0,0,1
194,clone194.java,0,0,1
195,clone195.java,1,0,1
196,clone196.java,1,0,1
197,clone197.java,0,0,1
198,clone198.java,1,0,1
199,clone199.java,1,0,1
2,clone2.java,1,0,1
20,clone20.java,1,0,1
200,clone200.java,1,0,1
201,clone201.java,0,0,1
202,clone202.java,0,0,1
203,clone203.java,0,0,1
204,clone204.java,0,0,1
205,clone205.java,0,0,1
206,clone206.java,0,0,1
207,clone207.java,0,0,1
208,clone208.java,0,0,1
209,clone209.java,0,0,1
21,clone21.java,0,0,1
210,clone210.java,0,0,0
211,clone211.java,1,0,1
212,clone212.java,0,0,1
213,clone213.java,0,0,0
214,clone214.java,1,0,1
215,clone215.java,1,1,1
216,clone216.java,1,0,1
217,clone217.java,1,0,1
218,clone218.java,1,0,1
219,clone219.java,1,0,1
22,clone22.java,1,0,1
220,clone220.java,1,0,1
221,clone221.java,1,0,1
222,clone222.java,1,0,1
223,clone223.java,1,0,0
224,clone224.java,1,1,1
225,clone225.java,0,1,1
226,clone226.java,0,1,1
227,clone227.java,0,0,1
228,clone228.java,0,1,1
229,clone229.java,0,1,1
23,clone23.java,0,0,0
230,clone230.java,0,0,1
231,clone231.java,0,0,1
232,clone232.java,0,1,0
233,clone233.java,0,0,1
234,clone234.java,0,0,0
235,clone235.java,0,0,1
236,clone236.java,0,0,1
237,clone237.java,0,0,1
238,clone238.java,0,0,1
239,clone239.java,0,0,1
24,clone24.java,1,0,1
240,clone240.java,0,0,1
241,clone241.java,0,0,0
242,clone242.java,0,1,1
243,clone243.java,0,0,0
244,clone244.java,0,0,1
245,clone245.java,0,0,1
246,clone246.java,0,0,1
247,clone247.java,0,0,0
248,clone248.java,1,0,1
249,clone249.java,1,0,0
25,clone25.java,1,1,1
250,clone250.java,1,0,1
251,clone251.java,1,0,1
252,clone252.java,1,0,1
253,clone253.java,1,0,0
254,clone254.java,1,1,1
255,clone255.java,1,0,0
256,clone256.java,1,0,1
257,clone257.java,1,1,1
258,clone258.java,1,0,1
259,clone259.java,1,0,1
26,clone26.java,0,0,1
260,clone260.java,1,1,0
261,clone261.java,1,1,1
262,clone262.java,0,0,0
263,clone263.java,0,0,1
264,clone264.java,0,0,1
265,clone265.java,0,0,1
266,clone266.java,0,0,1
267,clone267.java,1,1,1
268,clone268.java,1,0,0
269,clone269.java,1,1,0
27,clone27.java,0,0,1
270,clone270.java,1,1,1
271,clone271.java,0,0,1
272,clone272.java,1,0,0
273,clone273.java,1,0,1
274,clone274.java,0,1,0
275,clone275.java,1,0,1
276,clone276.java,0,0,1
277,clone277.java,1,0,1
278,clone278.java,0,0,0
279,clone279.java,1,0,1
28,clone28.java,0,0,1
280,clone280.java,1,1,1
281,clone281.java,1,0,0
282,clone282.java,1,0,1
283,clone283.java,1,0,1
284,clone284.java,1,0,0
285,clone285.java,1,0,0
286,clone286.java,1,0,0
287,clone287.java,1,0,0
288,clone288.java,1,0,1
289,clone289.java,0,0,1
29,clone29.java,1,1,0
290,clone290.java,1,0,1
291,clone291.java,0,0,1
292,clone292.java,1,0,1
293,clone293.java,0,0,1
294,clone294.java,0,0,1
295,clone295.java,0,0,0
296,clone296.java,0,0,1
297,clone297.java,0,0,1
298,clone298.java,0,0,0
299,clone299.java,0,0,1
3,clone3.java,1,0,1
30,clone30.java,1,0,1
300,clone300.java,0,0,1
301,clone301.java,1,0,1
302,clone302.java,1,1,1
303,clone303.java,0,0,1
304,clone304.java,0,0,1
305,clone305.java,1,0,0
306,clone306.java,1,0,1
307,clone307.java,1,0,1
308,clone308.java,0,0,1
309,clone309.java,0,0,1
31,clone31.java,1,0,1
310,clone310.java,0,0,1
311,clone311.java,0,0,0
312,clone312.java,1,0,1
313,clone313.java,1,0,1
314,clone314.java,1,0,1
315,clone315.java,0,0,1
316,clone316.java,1,0,1
317,clone317.java,1,0,0
318,clone318.java,1,0,1
319,clone319.java,1,0,1
32,clone32.java,1,0,1
320,clone320.java,1,0,1
321,clone321.java,0,0,1
322,clone322.java,1,0,1
323,clone323.java,0,0,1
324,clone324.java,1,1,0
325,clone325.java,0,0,1
326,clone326.java,1,0,1
327,clone327.java,1,0,1
328,clone328.java,1,0,1
329,clone329.java,1,0,0
33,clone33.java,0,1,1
330,clone330.java,1,0,1
331,clone331.java,1,0,1
332,clone332.java,1,0,1
333,clone333.java,1,0,1
334,clone334.java,0,0,1
335,clone335.java,0,0,1
336,clone336.java,0,0,1
337,clone337.java,0,0,1
338,clone338.java,0,0,1
339,clone339.java,1,0,1
34,clone34.java,0,0,1
340,clone340.java,1,0,1
341,clone341.java,1,0,1
342,clone342.java,1,0,1
343,clone343.java,1,0,0
344,clone344.java,1,0,1
345,clone345.java,1,0,0
346,clone346.java,0,0,1
347,clone347.java,1,0,1
348,clone348.java,1,0,1
349,clone349.java,1,0,1
35,clone35.java,0,0,1
350,clone350.java,1,0,1
351,clone351.java,0,0,1
352,clone352.java,1,1,1
353,clone353.java,0,0,1
354,clone354.java,0,1,1
355,clone355.java,0,1,1
356,clone356.java,1,0,1
357,clone357.java,0,1,1
358,clone358.java,0,0,1
359,clone359.java,0,1,1
36,clone36.java,0,0,1
360,clone360.java,1,0,0
361,clone361.java,1,0,1
362,clone362.java,1,0,0
363,clone363.java,1,0,1
364,clone364.java,0,0,1
365,clone365.java,0,0,1
366,clone366.java,1,0,0
367,clone367.java,1,0,1
368,clone368.java,1,0,1
369,clone369.java,1,0,1
37,clone37.java,0,0,1
370,clone370.java,1,0,1
371,clone371.java,0,0,0
372,clone372.java,1,0,1
373,clone373.java,1,0,1
374,clone374.java,1,0,1
375,clone375.java,0,0,1
376,clone376.java,1,0,1
377,clone377.java,1,0,0
378,clone378.java,0,1,1
379,clone379.java,1,0,1
38,clone38.java,0,0,1
380,clone380.java,1,0,1
381,clone381.java,1,0,1
382,clone382.java,1,0,1
383,clone383.java,1,0,1
384,clone384.java,0,0,0
385,clone385.java,0,0,1
386,clone386.java,0,0,1
387,clone387.java,1,1,0
388,clone388.java,0,1,1
389,clone389.java,1,1,1
39,clone39.java,0,0,0
390,clone390.java,1,1,1
391,clone391.java,0,0,1
392,clone392.java,0,0,1
393,clone393.java,1,0,1
394,clone394.java,0,0,1
395,clone395.java,0,0,1
396,clone396.java,1,0,1
397,clone397.java,1,0,1
398,clone398.java,0,0,1
399,clone399.java,0,0,1
4,clone4.java,1,1,1
40,clone40.java,0,0,1
400,clone400.java,0,0,1
401,clone401.java,1,0,1
402,clone402.java,1,1,1
403,clone403.java,1,1,1
404,clone404.java,0,0,1
405,clone405.java,1,0,1
406,clone406.java,1,0,1
407,clone407.java,1,0,1
408,clone408.java,0,0,1
409,clone409.java,1,0,1
41,clone41.java,0,0,1
410,clone410.java,1,0,1
411,clone411.java,1,0,1
412,clone412.java,1,0,0
413,clone413.java,1,0,1
414,clone414.java,1,0,1
415,clone415.java,1,0,1
416,clone416.java,1,0,1
417,clone417.java,1,0,0
418,clone418.java,1,0,0
419,clone419.java,1,0,1
42,clone42.java,1,0,1
420,clone420.java,1,0,1
421,clone421.java,1,0,1
422,clone422.java,1,0,0
423,clone423.java,1,0,0
424,clone424.java,1,0,1
425,clone425.java,1,0,1
426,clone426.java,1,0,1
427,clone427.java,1,0,1
428,clone428.java,1,0,1
429,clone429.java,1,0,1
43,clone43.java,0,0,1
430,clone430.java,1,0,0
431,clone431.java,1,0,1
432,clone432.java,1,0,1
433,clone433.java,1,1,1
434,clone434.java,1,0,1
435,clone435.java,1,0,0
436,clone436.java,1,0,1
437,clone437.java,1,0,1
438,clone438.java,1,0,1
439,clone439.java,1,0,1
44,clone44.java,0,1,1
440,clone440.java,1,0,1
441,clone441.java,1,0,0
442,clone442.java,0,0,1
443,clone443.java,1,0,0
444,clone444.java,1,0,1
445,clone445.java,1,0,1
446,clone446.java,1,0,1
447,clone447.java,1,0,1
448,clone448.java,1,0,1
449,clone449.java,1,0,1
45,clone45.java,1,1,1
450,clone450.java,1,0,1
451,clone451.java,1,0,1
452,clone452.java,1,0,1
453,clone453.java,0,0,1
454,clone454.java,1,0,1
455,clone455.java,1,0,0
456,clone456.java,1,0,1
457,clone457.java,1,0,0
458,clone458.java,1,0,1
459,clone459.java,0,0,0
46,clone46.java,0,0,1
460,clone460.java,1,0,1
461,clone461.java,1,0,1
462,clone462.java,0,0,1
463,clone463.java,1,0,1
464,clone464.java,1,0,1
465,clone465.java,1,0,0
466,clone466.java,0,0,0
467,clone467.java,1,0,1
468,clone468.java,1,0,1
469,clone469.java,1,0,1
47,clone47.java,0,0,1
470,clone470.java,1,0,1
471,clone471.java,1,0,1
472,clone472.java,1,0,1
473,clone473.java,1,0,1
474,clone474.java,1,0,1
475,clone475.java,1,1,1
476,clone476.java,1,0,1
477,clone477.java,1,0,0
478,clone478.java,1,0,1
479,clone479.java,1,0,1
48,clone48.java,0,0,1
480,clone480.java,1,0,0
481,clone481.java,1,0,1
482,clone482.java,1,0,1
483,clone483.java,1,0,1
484,clone484.java,1,0,1
485,clone485.java,1,0,0
486,clone486.java,1,0,1
487,clone487.java,1,0,1
488,clone488.java,1,1,1
489,clone489.java,0,0,1
49,clone49.java,0,0,1
490,clone490.java,1,0,1
491,clone491.java,1,0,1
492,clone492.java,0,0,1
493,clone493.java,0,0,1
494,clone494.java,0,0,1
495,clone495.java,0,0,1
496,clone496.java,0,0,1
497,clone497.java,1,0,1
498,clone498.java,1,1,1
499,clone499.java,1,0,1
5,clone5.java,1,0,1
50,clone50.java,1,1,1
500,clone500.java,1,0,1
501,clone501.java,1,0,1
502,clone502.java,1,0,1
503,clone503.java,1,0,0
504,clone504.java,1,0,0
505,clone505.java,1,1,1
506,clone506.java,1,0,1
507,clone507.java,1,0,0
508,clone508.java,1,0,1
509,clone509.java,1,0,1
51,clone51.java,1,0,1
510,clone510.java,0,0,1
511,clone511.java,1,0,1
512,clone512.java,0,0,1
513,clone513.java,1,1,1
514,clone514.java,1,0,1
515,clone515.java,0,0,1
516,clone516.java,1,0,1
517,clone517.java,0,0,1
518,clone518.java,0,1,1
519,clone519.java,1,0,1
52,clone52.java,0,0,1
520,clone520.java,1,1,1
521,clone521.java,1,0,1
522,clone522.java,1,0,1
523,clone523.java,1,0,1
524,clone524.java,1,0,0
525,clone525.java,1,0,1
526,clone526.java,1,0,0
527,clone527.java,0,1,0
528,clone528.java,1,0,1
529,clone529.java,1,0,1
53,clone53.java,1,0,1
530,clone530.java,1,0,1
531,clone531.java,1,0,1
532,clone532.java,0,1,1
533,clone533.java,0,0,1
534,clone534.java,1,0,1
535,clone535.java,0,0,1
536,clone536.java,1,0,1
537,clone537.java,1,0,1
538,clone538.java,1,0,0
539,clone539.java,0,1,1
54,clone54.java,1,0,0
540,clone540.java,1,0,1
541,clone541.java,0,1,1
542,clone542.java,1,0,1
543,clone543.java,1,0,1
544,clone544.java,1,0,1
545,clone545.java,1,0,1
546,clone546.java,1,0,1
547,clone547.java,0,0,1
548,clone548.java,0,0,1
549,clone549.java,0,0,1
55,clone55.java,1,0,1
550,clone550.java,0,0,1
551,clone551.java,0,0,1
552,clone552.java,0,0,1
553,clone553.java,1,0,1
554,clone554.java,0,0,1
555,clone555.java,1,0,0
556,clone556.java,0,0,1
557,clone557.java,0,0,1
558,clone558.java,0,0,1
559,clone559.java,0,0,1
56,clone56.java,1,0,1
560,clone560.java,0,0,1
561,clone561.java,0,0,1
562,clone562.java,0,0,1
563,clone563.java,1,0,1
564,clone564.java,1,0,1
565,clone565.java,0,0,1
566,clone566.java,1,0,1
567,clone567.java,1,0,1
568,clone568.java,0,1,1
569,clone569.java,0,1,1
57,clone57.java,1,0,1
570,clone570.java,0,0,0
571,clone571.java,0,1,1
572,clone572.java,0,0,1
573,clone573.java,1,0,0
574,clone574.java,1,0,1
575,clone575.java,1,1,1
576,clone576.java,0,0,1
577,clone577.java,0,0,1
578,clone578.java,0,0,1
579,clone579.java,0,0,1
58,clone58.java,1,0,1
580,clone580.java,0,0,1
581,clone581.java,1,0,1
582,clone582.java,1,0,1
583,clone583.java,1,0,1
584,clone584.java,1,0,0
585,clone585.java,1,0,0
586,clone586.java,0,0,1
587,clone587.java,1,0,1
588,clone588.java,0,0,1
589,clone589.java,1,0,1
59,clone59.java,1,0,1
590,clone590.java,1,0,1
591,clone591.java,1,0,0
592,clone592.java,1,0,0
593,clone593.java,1,0,1
594,clone594.java,0,1,1
595,clone595.java,1,1,0
596,clone596.java,1,0,1
597,clone597.java,0,1,1
598,clone598.java,0,1,0
599,clone599.java,1,0,1
6,clone6.java,1,0,1
60,clone60.java,0,1,0
600,clone600.java,0,0,0
601,clone601.java,0,0,1
602,clone602.java,0,0,0
603,clone603.java,0,0,1
604,clone604.java,1,0,1
605,clone605.java,1,0,0
606,clone606.java,1,0,1
607,clone607.java,1,0,1
608,clone608.java,1,0,1
609,clone609.java,0,0,1
61,clone61.java,0,1,0
610,clone610.java,1,0,1
611,clone611.java,1,0,1
612,clone612.java,1,0,0
613,clone613.java,1,1,1
614,clone614.java,1,1,1
615,clone615.java,0,1,1
616,clone616.java,0,1,1
617,clone617.java,0,0,1
618,clone618.java,0,0,0
619,clone619.java,0,0,1
62,clone62.java,1,0,1
620,clone620.java,0,0,1
621,clone621.java,1,0,1
622,clone622.java,1,0,1
623,clone623.java,1,0,1
624,clone624.java,1,0,1
625,clone625.java,0,0,1
626,clone626.java,1,0,1
627,clone627.java,1,0,1
628,clone628.java,1,0,1
629,clone629.java,1,0,1
63,clone63.java,1,0,1
630,clone630.java,1,0,1
631,clone631.java,1,0,1
632,clone632.java,1,0,1
633,clone633.java,1,0,0
634,clone634.java,1,0,0
635,clone635.java,0,1,1
636,clone636.java,1,0,0
637,clone637.java,0,0,1
638,clone638.java,0,0,1
639,clone639.java,0,0,1
64,clone64.java,0,0,1
640,clone640.java,1,1,1
641,clone641.java,1,0,1
642,clone642.java,1,0,1
643,clone643.java,1,0,1
644,clone644.java,1,0,1
645,clone645.java,1,0,1
646,clone646.java,1,0,1
647,clone647.java,1,0,1
648,clone648.java,1,0,1
649,clone649.java,1,0,0
65,clone65.java,1,0,1
650,clone650.java,0,0,1
651,clone651.java,0,0,0
652,clone652.java,0,0,0
653,clone653.java,0,0,1
654,clone654.java,0,0,0
655,clone655.java,1,0,1
656,clone656.java,1,0,1
657,clone657.java,1,1,1
658,clone658.java,1,0,1
659,clone659.java,1,0,0
66,clone66.java,0,0,1
660,clone660.java,0,0,0
661,clone661.java,1,1,1
662,clone662.java,1,0,1
663,clone663.java,1,0,1
664,clone664.java,1,0,1
665,clone665.java,1,0,1
666,clone666.java,1,0,1
667,clone667.java,1,0,0
668,clone668.java,1,0,0
669,clone669.java,1,0,1
67,clone67.java,1,0,0
670,clone670.java,1,0,1
671,clone671.java,1,0,1
672,clone672.java,1,0,1
673,clone673.java,1,0,1
674,clone674.java,1,0,1
675,clone675.java,1,0,1
676,clone676.java,1,0,1
677,clone677.java,1,0,1
678,clone678.java,1,0,1
679,clone679.java,1,0,0
68,clone68.java,1,0,1
680,clone680.java,1,0,1
681,clone681.java,1,0,1
682,clone682.java,0,0,1
683,clone683.java,1,0,0
684,clone684.java,0,1,1
685,clone685.java,1,0,1
686,clone686.java,0,0,1
687,clone687.java,0,0,1
688,clone688.java,0,0,0
689,clone689.java,0,0,1
69,clone69.java,1,0,0
690,clone690.java,1,0,0
691,clone691.java,1,1,1
692,clone692.java,1,0,1
693,clone693.java,0,0,1
694,clone694.java,0,0,1
695,clone695.java,0,0,1
696,clone696.java,1,0,1
697,clone697.java,1,0,1
698,clone698.java,1,0,1
699,clone699.java,1,0,1
7,clone7.java,1,0,1
70,clone70.java,1,0,1
700,clone700.java,1,0,1
701,clone701.java,0,0,1
702,clone702.java,0,0,0
703,clone703.java,0,0,0
704,clone704.java,0,0,1
705,clone705.java,0,0,1
706,clone706.java,0,0,0
707,clone707.java,0,0,1
708,clone708.java,0,0,1
709,clone709.java,0,1,1
71,clone71.java,1,0,0
710,clone710.java,1,1,1
711,clone711.java,0,1,1
712,clone712.java,0,1,1
713,clone713.java,0,0,1
714,clone714.java,0,0,1
715,clone715.java,0,0,1
716,clone716.java,1,0,1
717,clone717.java,1,0,0
718,clone718.java,0,1,1
719,clone719.java,1,1,1
72,clone72.java,1,0,1
720,clone720.java,1,0,0
721,clone721.java,1,0,1
722,clone722.java,0,1,1
723,clone723.java,0,0,1
724,clone724.java,1,0,0
725,clone725.java,1,0,1
726,clone726.java,1,0,0
727,clone727.java,1,0,1
728,clone728.java,1,0,1
729,clone729.java,1,0,1
73,clone73.java,1,0,1
730,clone730.java,1,0,1
731,clone731.java,1,0,1
732,clone732.java,1,0,1
733,clone733.java,1,0,1
734,clone734.java,1,0,1
735,clone735.java,0,0,1
736,clone736.java,0,1,1
737,clone737.java,0,1,0
738,clone738.java,0,0,1
739,clone739.java,0,0,1
74,clone74.java,1,0,1
740,clone740.java,1,0,0
741,clone741.java,1,0,1
742,clone742.java,1,0,1
743,clone743.java,0,1,1
744,clone744.java,0,0,1
745,clone745.java,0,0,1
746,clone746.java,1,0,1
747,clone747.java,0,1,1
748,clone748.java,1,0,1
749,clone749.java,1,0,1
75,clone75.java,1,0,1
750,clone750.java,1,0,1
751,clone751.java,1,0,1
752,clone752.java,1,0,1
753,clone753.java,1,0,0
754,clone754.java,0,0,1
755,clone755.java,1,0,0
756,clone756.java,1,0,1
757,clone757.java,1,0,1
758,clone758.java,1,0,1
759,clone759.java,1,0,0
76,clone76.java,1,0,1
760,clone760.java,0,0,1
761,clone761.java,1,0,0
762,clone762.java,0,0,1
763,clone763.java,0,0,1
764,clone764.java,1,0,1
765,clone765.java,1,0,1
766,clone766.java,1,0,1
767,clone767.java,1,0,1
768,clone768.java,0,0,1
769,clone769.java,0,0,1
77,clone77.java,1,0,1
770,clone770.java,0,0,1
771,clone771.java,1,0,1
772,clone772.java,1,0,1
773,clone773.java,1,0,1
774,clone774.java,0,0,1
775,clone775.java,1,0,0
776,clone776.java,1,0,1
777,clone777.java,1,0,1
778,clone778.java,0,0,0
779,clone779.java,1,0,1
78,clone78.java,1,0,1
780,clone780.java,0,1,1
781,clone781.java,0,0,1
782,clone782.java,1,0,1
783,clone783.java,1,0,1
784,clone784.java,1,0,1
785,clone785.java,1,0,1
786,clone786.java,0,1,1
787,clone787.java,0,1,1
788,clone788.java,1,1,1
789,clone789.java,0,0,0
79,clone79.java,0,0,1
790,clone790.java,0,0,0
791,clone791.java,0,0,1
792,clone792.java,0,0,1
793,clone793.java,1,0,1
794,clone794.java,1,0,1
795,clone795.java,0,0,1
796,clone796.java,1,0,1
797,clone797.java,1,0,1
798,clone798.java,1,0,1
799,clone799.java,0,1,1
8,clone8.java,1,0,1
80,clone80.java,1,0,0
800,clone800.java,1,0,1
801,clone801.java,1,0,1
802,clone802.java,1,0,0
803,clone803.java,1,0,1
804,clone804.java,1,0,1
805,clone805.java,0,0,0
806,clone806.java,1,0,1
807,clone807.java,1,0,1
808,clone808.java,1,0,0
809,clone809.java,1,0,0
81,clone81.java,1,0,1
810,clone810.java,1,0,1
811,clone811.java,1,0,1
812,clone812.java,1,1,1
813,clone813.java,0,0,1
814,clone814.java,0,0,0
815,clone815.java,0,0,1
816,clone816.java,0,0,1
817,clone817.java,1,0,1
818,clone818.java,1,0,1
819,clone819.java,1,0,1
82,clone82.java,1,0,1
820,clone820.java,1,0,0
821,clone821.java,0,0,1
822,clone822.java,1,1,1
823,clone823.java,1,1,1
824,clone824.java,0,0,1
825,clone825.java,0,0,0
826,clone826.java,0,0,1
827,clone827.java,0,0,1
828,clone828.java,0,0,0
829,clone829.java,0,0,1
83,clone83.java,1,0,1
830,clone830.java,0,0,1
831,clone831.java,1,0,1
832,clone832.java,1,0,1
833,clone833.java,1,0,1
834,clone834.java,0,0,1
835,clone835.java,0,0,1
836,clone836.java,0,0,1
837,clone837.java,0,0,1
838,clone838.java,0,0,1
839,clone839.java,1,0,0
84,clone84.java,0,1,0
840,clone840.java,1,0,1
841,clone841.java,1,0,1
842,clone842.java,0,1,1
843,clone843.java,0,0,1
844,clone844.java,1,0,0
845,clone845.java,0,0,1
846,clone846.java,0,0,1
847,clone847.java,1,0,1
848,clone848.java,1,0,1
849,clone849.java,1,0,1
85,clone85.java,1,0,1
850,clone850.java,0,0,1
851,clone851.java,0,1,1
852,clone852.java,1,0,1
853,clone853.java,0,0,1
854,clone854.java,1,0,0
855,clone855.java,0,0,1
856,clone856.java,0,1,1
857,clone857.java,0,0,1
858,clone858.java,0,0,1
859,clone859.java,0,0,1
86,clone86.java,1,0,0
860,clone860.java,0,0,1
861,clone861.java,1,1,1
862,clone862.java,1,0,1
863,clone863.java,1,0,1
864,clone864.java,1,0,1
865,clone865.java,0,1,1
866,clone866.java,0,0,1
867,clone867.java,0,0,1
868,clone868.java,0,0,0
869,clone869.java,0,0,1
87,clone87.java,0,0,1
870,clone870.java,0,0,1
871,clone871.java,1,0,1
872,clone872.java,1,1,1
873,clone873.java,1,1,0
874,clone874.java,1,1,1
875,clone875.java,0,1,1
876,clone876.java,1,0,0
877,clone877.java,1,0,1
878,clone878.java,1,0,1
879,clone879.java,1,0,1
88,clone88.java,0,0,1
880,clone880.java,0,0,1
881,clone881.java,0,0,1
882,clone882.java,0,0,0
883,clone883.java,1,0,1
884,clone884.java,1,1,1
885,clone885.java,1,0,1
886,clone886.java,1,0,1
887,clone887.java,0,0,1
888,clone888.java,1,0,0
889,clone889.java,1,0,1
89,clone89.java,0,0,1
890,clone890.java,1,0,1
891,clone891.java,0,1,0
892,clone892.java,1,0,1
893,clone893.java,1,0,1
894,clone894.java,1,0,0
895,clone895.java,1,0,1
896,clone896.java,0,0,0
897,clone897.java,1,0,1
898,clone898.java,0,0,0
899,clone899.java,0,0,1
9,clone9.java,0,1,1
90,clone90.java,0,0,1
900,clone900.java,1,0,1
901,clone901.java,1,1,1
902,clone902.java,1,0,1
903,clone903.java,1,0,1
904,clone904.java,1,1,1
905,clone905.java,1,0,1
906,clone906.java,0,0,1
907,clone907.java,0,0,1
908,clone908.java,0,0,1
909,clone909.java,0,0,1
91,clone91.java,0,0,1
910,clone910.java,1,0,1
911,clone911.java,1,0,1
912,clone912.java,1,0,1
913,clone913.java,0,0,1
914,clone914.java,0,0,1
915,clone915.java,0,0,1
916,clone916.java,0,0,1
917,clone917.java,1,0,1
918,clone918.java,1,1,1
919,clone919.java,1,0,1
92,clone92.java,0,0,1
920,clone920.java,1,0,1
921,clone921.java,1,0,1
922,clone922.java,0,0,1
923,clone923.java,1,1,1
924,clone924.java,1,0,0
925,clone925.java,0,0,1
926,clone926.java,1,0,1
927,clone927.java,1,1,0
928,clone928.java,1,1,1
929,clone929.java,0,0,1
93,clone93.java,1,0,0
930,clone930.java,1,0,1
931,clone931.java,0,0,1
932,clone932.java,1,0,1
933,clone933.java,0,0,1
934,clone934.java,1,1,1
935,clone935.java,1,0,1
936,clone936.java,1,0,1
937,clone937.java,1,0,0
938,clone938.java,0,0,1
939,clone939.java,1,0,1
94,clone94.java,1,0,1
940,clone940.java,0,0,1
941,clone941.java,1,1,1
942,clone942.java,1,1,1
943,clone943.java,1,0,1
944,clone944.java,1,0,1
945,clone945.java,1,0,1
946,clone946.java,1,0,0
947,clone947.java,1,0,1
948,clone948.java,1,0,0
949,clone949.java,1,0,1
95,clone95.java,1,0,1
950,clone950.java,1,0,1
951,clone951.java,1,0,0
952,clone952.java,1,1,1
953,clone953.java,0,0,1
954,clone954.java,0,0,0
955,clone955.java,0,0,1
956,clone956.java,1,0,1
957,clone957.java,1,1,0
958,clone958.java,1,0,0
959,clone959.java,1,1,0
96,clone96.java,1,0,1
960,clone960.java,0,0,1
961,clone961.java,0,0,1
962,clone962.java,0,0,1
963,clone963.java,1,0,1
964,clone964.java,1,0,1
965,clone965.java,1,0,1
966,clone966.java,1,0,1
967,clone967.java,1,0,1
968,clone968.java,1,0,1
969,clone969.java,1,0,1
97,clone97.java,1,0,1
970,clone970.java,1,0,1
971,clone971.java,1,0,1
972,clone972.java,1,0,1
973,clone973.java,1,0,1
974,clone974.java,1,0,1
975,clone975.java,1,0,1
976,clone976.java,1,0,0
977,clone977.java,1,0,1
978,clone978.java,1,0,1
979,clone979.java,1,0,1
98,clone98.java,1,0,1
980,clone980.java,1,0,1
981,clone981.java,1,0,1
982,clone982.java,1,0,1
983,clone983.java,1,1,1
984,clone984.java,1,0,0
985,clone985.java,1,0,1
986,clone986.java,1,0,1
987,clone987.java,1,0,1
988,clone988.java,1,0,1
989,clone989.java,1,0,1
99,clone99.java,1,0,1
990,clone990.java,1,0,1
991,clone991.java,1,0,1
992,clone992.java,1,0,1
993,clone993.java,1,0,1
994,clone994.java,1,0,1
